Conformal_Method,Year_Type,n,picp,unsafe_miss_rate,unsafe_target,n_unsafe,mean_shortfall_t_ha,worst_shortfall_t_ha,expected_shortfall_t_ha,mean_shortfall_pct_of_yield,over_rate,mpiw
locally_adaptive,Extreme,202,0.8960396039603961,0.09405940594059406,0.04999999999999999,19,0.7119052631578944,1.3491,0.06696138613861384,11.12419228183849,0.009900990099009901,4.476427227722772
locally_adaptive,Moderate,426,0.9530516431924883,0.025821596244131457,0.04999999999999999,11,0.6076181818181818,2.1564999999999994,0.015689671361502348,7.676598220782159,0.02112676056338028,3.967355868544601
locally_adaptive,Normal,1717,0.9539895165987187,0.0128130460104834,0.04999999999999999,22,0.6996545454545455,2.364600000000001,0.00896470588235294,8.577663285558266,0.033197437390797904,3.5405573675014566
phenology_stratified_cqr,Extreme,202,0.8762376237623762,0.11386138613861387,0.04999999999999999,23,0.7573695652173913,1.774,0.08623514851485148,12.238931687041008,0.009900990099009901,4.080140099009901
phenology_stratified_cqr,Moderate,426,0.9389671361502347,0.03990610328638498,0.04999999999999999,17,0.5594235294117647,2.0093999999999994,0.022324413145539904,8.06626551322043,0.02112676056338028,3.79881338028169
phenology_stratified_cqr,Normal,1717,0.9603960396039604,0.013395457192778102,0.04999999999999999,23,0.6758869565217391,2.2269000000000005,0.009053814793244032,8.622395513593172,0.026208503203261502,3.563239370995923
sa_aci,Extreme,202,0.8366336633663366,0.13366336633663367,0.04999999999999999,27,0.8163777777777775,1.9653999999999998,0.109119801980198,13.059809877622538,0.0297029702970297,3.660629702970297
sa_aci,Moderate,426,0.8896713615023474,0.0539906103286385,0.04999999999999999,23,0.5479130434782606,2.101799999999999,0.02958215962441314,7.797690390594933,0.056338028169014086,3.3794291079812204
sa_aci,Normal,1717,0.9429237041351194,0.0157251019219569,0.04999999999999999,27,0.6816703703703704,2.3270999999999997,0.010719336051252183,8.672411863958303,0.041351193942923706,3.2655879440885265
standard_aci,Extreme,202,0.8514851485148515,0.12376237623762376,0.04999999999999999,25,0.85492,1.9444999999999997,0.10580693069306932,13.67824671176324,0.024752475247524754,3.7697351485148514
standard_aci,Moderate,426,0.9014084507042254,0.0539906103286385,0.04999999999999999,23,0.5578391304347826,2.1051,0.030118075117370892,8.020671644571994,0.04460093896713615,3.4992032863849767
standard_aci,Normal,1717,0.9464181712288876,0.0157251019219569,0.04999999999999999,27,0.6558333333333333,2.3225999999999996,0.010313046010483402,8.357188240619879,0.0378567268491555,3.352560279557367
static_conformal,Extreme,202,0.8762376237623762,0.11386138613861387,0.04999999999999999,23,0.7574217391304346,1.7740999999999998,0.08624108910891087,12.23969829223695,0.009900990099009901,4.080002475247525
static_conformal,Moderate,426,0.9389671361502347,0.03990610328638498,0.04999999999999999,17,0.5615470588235292,2.009499999999999,0.02240915492957746,8.105116515890048,0.02112676056338028,3.798093427230047
static_conformal,Normal,1717,0.9598136284216657,0.013395457192778102,0.04999999999999999,23,0.6767173913043479,2.2270000000000003,0.009064938846825861,8.635353197920532,0.026790914385556204,3.561749213744904
weighted_conformal,Extreme,202,0.8712871287128713,0.1188118811881188,0.04999999999999999,24,0.7319583333333332,1.7804000000000002,0.08696534653465346,11.82336644285696,0.009900990099009901,4.067363861386139
weighted_conformal,Moderate,426,0.9366197183098591,0.03990610328638498,0.04999999999999999,17,0.5678764705882351,2.0157999999999987,0.02266173708920187,8.193397621029911,0.023474178403755867,3.785465023474178
weighted_conformal,Normal,1717,0.9586488060570763,0.013395457192778102,0.04999999999999999,23,0.6830304347826087,2.2333,0.009149504950495048,8.713493589605587,0.027955736750145604,3.549117938264414
