feature,votes,selected,protected,avg_rank,rank_mi,rank_lgbm,rank_rf,rank_perm
noaa_max_hail_size_gs,1,True,True,94.5,106,76,100,100
CDHW_Severity_vegetative,1,False,False,96.5,74,98,111,107
CDHW_Veg_Severity,0,True,True,100.25,79,111,109,106
Fourier_cos_P3_0,0,True,True,100.5,109,100,99,98
CDHW_Severity_grainfill,0,False,False,102.5,110,97,102,105
prism_tmax_days_gt35_veg,0,False,False,103.0,94,101,110,111
cdhw_count_veg,0,False,False,104.75,87,110,113,113
CDHW_GrainFill_Severity,0,True,True,105.5,111,113,101,101
cdhw_total_days_veg,0,False,False,107.0,91,112,114,115
noaa_tornado_count_gs,0,True,True,107.25,115,94,112,112
prism_tmax_days_gt35_grain,0,False,False,107.75,112,106,108,109
cdhw_total_days_grain,0,False,False,107.75,113,114,105,103
cdhw_count_grain,0,False,False,108.5,114,109,107,108
CDHW_Flag,0,True,True,111.5,105,116,115,114
Fourier_cos_P1_0,0,True,True,114.75,116,115,116,116
Fourier_sin_P1_0,0,True,True,116.0,117,117,117,117
