method,stratum,picp_loo_min,picp_loo_max,most_influential_origin,picp_without_that_origin,picp_shift_if_dropped
group_conditional_cp,ALL,0.875,0.895145895827652,2012,0.895145895827652,0.014472769871507252
group_conditional_cp,Extreme,0.788826815642458,0.9387755102040817,2012,0.9387755102040817,0.11602418745275889
group_conditional_cp,Moderate,0.8990944372574385,0.9355216881594373,2018,0.9355216881594373,0.021266597055471514
group_conditional_cp,Normal,0.88,0.8990494296577947,2008,0.8990494296577947,0.012430077052636324
rolling_static_cp,ALL,0.877859477124183,0.9025088628306518,2012,0.9025088628306518,0.01711875574243149
rolling_static_cp,Extreme,0.7269076305220884,0.8629737609329446,2012,0.8629737609329446,0.10459633588885298
rolling_static_cp,Moderate,0.8974358974358975,0.9376528117359413,2021,0.9376528117359413,0.023397720631975538
rolling_static_cp,Normal,0.8977978543195935,0.9186311787072243,2008,0.9186311787072243,0.01297080134873374
sa_aci,ALL,0.8773148148148148,0.9010089991818926,2012,0.9010089991818926,0.016256321976385157
sa_aci,Extreme,0.7389558232931727,0.8702623906705539,2012,0.8702623906705539,0.10130295504445164
sa_aci,Moderate,0.9,0.936694021101993,2018,0.936694021101993,0.021367118636826832
sa_aci,Normal,0.8945981554677207,0.9159695817490494,2008,0.9159695817490494,0.013425008441104058
standard_aci,ALL,0.877859477124183,0.9025088628306518,2012,0.9025088628306518,0.01711875574243149
standard_aci,Extreme,0.7269076305220884,0.8629737609329446,2012,0.8629737609329446,0.10459633588885298
standard_aci,Moderate,0.8974358974358975,0.9376528117359413,2021,0.9376528117359413,0.023397720631975538
standard_aci,Normal,0.8977978543195935,0.9186311787072243,2008,0.9186311787072243,0.01297080134873374
