Conformal_Method,Year,n,picp,unsafe_miss_rate,unsafe_target,n_unsafe,mean_shortfall_t_ha,worst_shortfall_t_ha,expected_shortfall_t_ha,mean_shortfall_pct_of_yield,over_rate,mpiw
locally_adaptive,2019,410,0.9634146341463414,0.01951219512195122,0.04999999999999999,8,0.36027500000000034,1.4049000000000014,0.007029756097560983,4.196931110287843,0.01707317073170732,3.6885963414634144
locally_adaptive,2020,532,0.956766917293233,0.03195488721804511,0.04999999999999999,17,0.926870588235294,2.364600000000001,0.02961804511278195,10.549956741429833,0.011278195488721804,3.3466577067669174
locally_adaptive,2021,450,0.8911111111111111,0.017777777777777778,0.04999999999999999,8,0.6107874999999999,1.5625,0.010858444444444443,10.114237964645238,0.09111111111111111,3.5896140000000005
locally_adaptive,2022,491,0.9653767820773931,0.006109979633401222,0.04999999999999999,3,0.5446666666666667,1.1130000000000004,0.003327902240325866,10.594530114812217,0.028513238289205704,3.798451120162933
locally_adaptive,2023,462,0.9653679653679653,0.03463203463203463,0.04999999999999999,16,0.6526937499999999,1.3491,0.022604112554112547,9.930538657350526,0.0,4.11332619047619
phenology_stratified_cqr,2019,410,0.9682926829268292,0.01707317073170732,0.04999999999999999,7,0.405314285714286,1.1800000000000015,0.006920000000000005,5.176572357709421,0.014634146341463415,3.6459256097560977
phenology_stratified_cqr,2020,532,0.9605263157894737,0.03007518796992481,0.04999999999999999,16,0.9251562499999999,2.2269000000000005,0.027824248120300748,10.672933643621132,0.009398496240601503,3.455967105263158
phenology_stratified_cqr,2021,450,0.8933333333333333,0.035555555555555556,0.04999999999999999,16,0.5735687500000001,1.6311,0.020393555555555557,9.769682576319317,0.07111111111111111,3.589213111111111
phenology_stratified_cqr,2022,491,0.9674134419551935,0.008146639511201629,0.04999999999999999,4,0.571725,1.3719000000000001,0.0046576374745417514,10.965300331420949,0.024439918533604887,3.7061321792260693
phenology_stratified_cqr,2023,462,0.9545454545454546,0.04329004329004329,0.04999999999999999,20,0.6685699999999999,1.774,0.02894242424242424,10.487898599531826,0.0021645021645021645,3.8794458874458875
sa_aci,2019,410,0.9658536585365853,0.01707317073170732,0.04999999999999999,7,0.4184428571428574,1.193200000000001,0.007144146341463419,5.3379564831003075,0.01707317073170732,3.6176217073170736
sa_aci,2020,532,0.9548872180451128,0.03195488721804511,0.04999999999999999,17,0.9618882352941175,2.3270999999999997,0.030737030075187955,11.063571930114442,0.013157894736842105,3.2575573308270678
sa_aci,2021,450,0.8577777777777778,0.044444444444444446,0.04999999999999999,20,0.59555,1.8063000000000002,0.026468888888888892,9.956625452825886,0.09777777777777778,3.2613513333333337
sa_aci,2022,491,0.9083503054989817,0.012219959266802444,0.04999999999999999,6,0.5649833333333333,1.5992000000000006,0.006904073319755601,10.442496553242194,0.07942973523421588,3.1318262729124235
sa_aci,2023,462,0.9329004329004329,0.05844155844155844,0.04999999999999999,27,0.6839703703703703,1.9653999999999998,0.03997229437229437,10.328998497657322,0.008658008658008658,3.386403246753247
standard_aci,2019,410,0.9658536585365853,0.01707317073170732,0.04999999999999999,7,0.40534285714285734,1.1801000000000013,0.006920487804878053,5.176961562197293,0.01707317073170732,3.643730731707317
standard_aci,2020,532,0.9548872180451128,0.03195488721804511,0.04999999999999999,17,0.9621588235294115,2.3225999999999996,0.030745676691729316,11.065598004834571,0.013157894736842105,3.263141165413534
standard_aci,2021,450,0.8555555555555555,0.044444444444444446,0.04999999999999999,20,0.6234,1.8019000000000007,0.027706666666666668,10.4054853867479,0.1,3.2473488888888884
standard_aci,2022,491,0.9368635437881874,0.008146639511201629,0.04999999999999999,4,0.7149249999999998,1.5107,0.005824236252545824,13.411557541875222,0.054989816700611,3.427090020366599
standard_aci,2023,462,0.935064935064935,0.05844155844155844,0.04999999999999999,27,0.644037037037037,1.9444999999999997,0.03763852813852814,9.850587525775776,0.006493506493506494,3.538017748917749
static_conformal,2019,410,0.9658536585365853,0.01707317073170732,0.04999999999999999,7,0.40534285714285734,1.1801000000000013,0.006920487804878053,5.176961562197293,0.01707317073170732,3.643730731707317
static_conformal,2020,532,0.9605263157894737,0.03007518796992481,0.04999999999999999,16,0.925225,2.2270000000000003,0.02782631578947368,10.673705738200463,0.009398496240601503,3.4543753759398497
static_conformal,2021,450,0.8933333333333333,0.035555555555555556,0.04999999999999999,16,0.575825,1.6312000000000006,0.020473777777777778,9.81110917365899,0.07111111111111111,3.5889146666666663
static_conformal,2022,491,0.9674134419551935,0.008146639511201629,0.04999999999999999,4,0.5761499999999999,1.3719000000000001,0.004693686354378818,11.0354758423957,0.024439918533604887,3.704559063136456
static_conformal,2023,462,0.9545454545454546,0.04329004329004329,0.04999999999999999,20,0.6686349999999999,1.7740999999999998,0.028945238095238086,10.488774607451889,0.0021645021645021645,3.8789270562770564
weighted_conformal,2019,410,0.9658536585365853,0.01707317073170732,0.04999999999999999,7,0.41165714285714305,1.1864000000000008,0.0070282926829268325,5.254535907708687,0.01707317073170732,3.6311002439024387
weighted_conformal,2020,532,0.9586466165413534,0.03007518796992481,0.04999999999999999,16,0.9315562499999996,2.2333,0.02801672932330826,10.744514723812355,0.011278195488721804,3.4417424812030077
weighted_conformal,2021,450,0.8933333333333333,0.035555555555555556,0.04999999999999999,16,0.5821437499999998,1.6375000000000002,0.02069844444444444,9.911404037214815,0.07111111111111111,3.576284222222222
weighted_conformal,2022,491,0.9633401221995926,0.008146639511201629,0.04999999999999999,4,0.5824999999999998,1.3783000000000003,0.004745417515274948,11.144305437452138,0.028513238289205704,3.6919291242362524
weighted_conformal,2023,462,0.9523809523809523,0.045454545454545456,0.04999999999999999,21,0.6428476190476191,1.7804000000000002,0.029220346320346324,10.076439688895233,0.0021645021645021645,3.8662941558441557
