feature,votes,selected,protected,avg_rank,rank_mi,rank_lgbm,rank_rf,rank_perm
prism_tmax_days_gt35_grain,0,False,False,94.5,79,102,101,100
noaa_max_hail_size_gs,0,True,True,96.25,105,80,102,102
CDHW_Severity_vegetative,0,False,False,99.0,89,95,108,108
Fourier_cos_P3_0,0,True,True,101.5,114,98,99,99
CDHW_Severity_grainfill,0,False,False,103.25,108,99,105,105
prism_tmax_days_gt35_veg,0,False,False,104.0,102,106,106,106
CDHW_Veg_Severity,0,True,True,105.5,91,111,112,112
cdhw_total_days_veg,0,False,False,107.75,95,114,113,113
CDHW_Flag,0,True,True,108.0,90,116,115,115
CDHW_GrainFill_Severity,0,True,True,108.0,109,113,107,107
noaa_tornado_count_gs,0,True,True,108.5,115,101,111,111
cdhw_count_grain,0,False,False,108.5,113,105,110,110
cdhw_total_days_grain,0,False,False,108.5,110,110,109,109
cdhw_count_veg,0,False,False,109.25,101,112,114,114
Fourier_cos_P1_0,0,True,True,114.75,116,115,116,116
Fourier_sin_P1_0,0,True,True,116.0,117,117,117,117
