test_year,method,GEOID,State,stratum,y,pred,lo,hi
2008,rolling_static_cp,17001,Illinois,Normal,10.7217,9.876796513056407,8.319521996555501,10.764691073413985
2008,rolling_static_cp,17003,Illinois,Normal,9.0288,8.61626512952075,6.639568049752865,9.8548531126037
2008,rolling_static_cp,17005,Illinois,Normal,10.2828,8.860281801827341,7.311345311214032,9.796037863235684
2008,rolling_static_cp,17007,Illinois,Normal,10.5963,9.880067464635765,8.136815377964933,10.848680427627217
2008,rolling_static_cp,17009,Illinois,Normal,9.5304,9.937638322197957,7.87263593666565,10.667608158269582
2008,rolling_static_cp,17011,Illinois,Normal,12.4773,10.952724806526302,9.299287234466535,11.909800943683646
2008,rolling_static_cp,17013,Illinois,Normal,10.0947,9.41719683783988,7.69149703843734,10.457201614306916
2008,rolling_static_cp,17015,Illinois,Normal,11.5995,11.07557594530472,8.837498320625832,11.656934350826198
2008,rolling_static_cp,17017,Illinois,Normal,12.2265,11.076861723063146,8.822940240036617,11.923935683081345
2008,rolling_static_cp,17019,Illinois,Normal,11.0352,10.488322885453568,8.732446448385305,11.159384922265241
2008,rolling_static_cp,17021,Illinois,Normal,12.1011,11.139387231658768,9.17354561361006,12.04457415569548
2008,rolling_static_cp,17023,Illinois,Normal,10.5336,9.970051691858044,7.960776813284908,10.519999526030865
2008,rolling_static_cp,17025,Illinois,Normal,8.3391,8.414547084860718,6.6612642894470575,9.42365680705183
2008,rolling_static_cp,17027,Illinois,Normal,10.2201,9.026582141602724,7.285049354931556,9.772321526235757
2008,rolling_static_cp,17029,Illinois,Normal,10.659,10.104974904813478,8.384531737800932,11.099697149029272
2008,rolling_static_cp,17033,Illinois,Normal,10.2828,9.026446396639619,7.68819996213806,10.049657235230653
2008,rolling_static_cp,17035,Illinois,Normal,10.659,9.751297584520858,8.327407105700672,10.502503733620731
2008,rolling_static_cp,17037,Illinois,Normal,11.8503,10.994102921924227,9.243692786839015,11.928256801263112
2008,rolling_static_cp,17039,Illinois,Normal,11.2233,10.962497504172907,9.029962194402382,11.476474723704925
2008,rolling_static_cp,17041,Illinois,Normal,10.4082,10.002608502471793,8.26991900223764,10.987644874059354
2008,rolling_static_cp,17045,Illinois,Normal,10.5336,10.206094189342943,8.435753950518741,10.852610479406021
2008,rolling_static_cp,17047,Illinois,Normal,9.5931,8.594972125714436,7.53929969557458,10.027822244085165
2008,rolling_static_cp,17049,Illinois,Normal,10.7217,9.334473277022761,7.5797806263283265,10.139100380691788
2008,rolling_static_cp,17051,Illinois,Normal,10.032,9.106746486237652,7.502649994596367,10.009024760352386
2008,rolling_static_cp,17053,Illinois,Normal,10.9725,10.352346046069918,8.5546252816524,11.198183067800134
2008,rolling_static_cp,17055,Illinois,Normal,8.9034,8.062727921426575,6.1735742248062815,9.32775764214832
2008,rolling_static_cp,17057,Illinois,Normal,12.1011,10.587612638725854,9.152174295987447,11.49445419477275
2008,rolling_static_cp,17059,Illinois,Normal,9.9066,9.38850070500704,7.689850280395096,10.314743265541395
2008,rolling_static_cp,17061,Illinois,Normal,9.9066,9.607934102362146,8.09789467652627,10.644573814565684
2008,rolling_static_cp,17063,Illinois,Normal,11.7876,10.373033806655537,8.828481757982654,11.618681796715364
2008,rolling_static_cp,17065,Illinois,Normal,10.032,8.698205633179182,7.295949347676527,10.100683104591385
2008,rolling_static_cp,17067,Illinois,Normal,11.913,10.64024014312985,9.037039300592296,11.44761401654721
2008,rolling_static_cp,17071,Illinois,Normal,12.4773,10.858856644938639,8.569622485646109,11.766994034971514
2008,rolling_static_cp,17073,Illinois,Normal,11.5368,10.611889712772687,8.977956629121191,11.47645897325782
2008,rolling_static_cp,17075,Illinois,Normal,10.9725,10.326592602963682,8.78577889261093,11.312892964149492
2008,rolling_static_cp,17077,Illinois,Normal,9.2796,8.196914743719159,6.197599940731414,9.43657964937916
2008,rolling_static_cp,17079,Illinois,Normal,10.032,8.922826831394477,7.6064905473724,9.976614347152765
2008,rolling_static_cp,17081,Illinois,Normal,8.2137,8.219612866351417,6.261566627022444,9.417193443575172
2008,rolling_static_cp,17083,Illinois,Normal,10.2201,10.157300432810601,8.496339573867841,10.860412853871805
2008,rolling_static_cp,17085,Illinois,Normal,10.2201,9.182376707854388,7.693693788365549,10.37917089960284
2008,rolling_static_cp,17087,Illinois,Normal,9.5931,7.669711007429295,5.802331964300656,9.102679002401096
2008,rolling_static_cp,17089,Illinois,Normal,11.7876,10.896358468081631,9.077256638018243,11.651976372672284
2008,rolling_static_cp,17091,Illinois,Normal,11.0979,10.292349507680939,8.698756564048393,11.215599270144857
2008,rolling_static_cp,17093,Illinois,Normal,11.0352,10.272327088536775,8.445258555153563,11.470048760069782
2008,rolling_static_cp,17095,Illinois,Normal,12.54,11.184761855037019,9.23051356457972,11.912937107479152
2008,rolling_static_cp,17097,Illinois,Normal,8.6526,8.020919648855893,6.376229982140936,9.953382368103016
2008,rolling_static_cp,17099,Illinois,Normal,12.0384,10.928579560212663,9.232493084324604,11.97145658783251
2008,rolling_static_cp,17101,Illinois,Normal,9.2796,8.513396041017673,7.289498851049286,10.041534816374678
