method,axis,stratum,n,picp,mpiw,winkler,bias
phenology_stratified_cqr,year_type,Extreme,202,0.8762,4.0801,5.9391,0.2225
phenology_stratified_cqr,year_type,Moderate,426,0.939,3.7988,4.3171,-0.0857
phenology_stratified_cqr,cdhw,none,1717,0.9604,3.5632,3.8946,-0.143
phenology_stratified_cqr,cdhw,severe,314,0.8917,4.0332,5.4614,0.0452
phenology_stratified_cqr,cdhw,moderate,314,0.9459,3.7454,4.2162,-0.0183
phenology_stratified_cqr,drought_spei30_lt_-1,no_drought,149,0.9597,3.5583,3.9287,0.0445
phenology_stratified_cqr,drought_spei30_lt_-1,drought,2196,0.9485,3.6568,4.1623,-0.111
phenology_stratified_cqr,heat_days_gt35,no_heat,1217,0.963,3.5151,3.8279,-0.1406
phenology_stratified_cqr,heat_days_gt35,heat,1128,0.9344,3.7967,4.4922,-0.0586
phenology_stratified_cqr,enso,El Nino,942,0.9639,3.5386,3.9694,-0.0071
phenology_stratified_cqr,enso,La Nina,1403,0.9394,3.7257,4.267,-0.1642
weighted_conformal,all,all,2345,0.9471,3.6367,4.1413,-0.1011
weighted_conformal,year,2019,410,0.9659,3.6311,3.8646,0.0386
weighted_conformal,year,2020,532,0.9586,3.4417,4.0336,-0.0424
weighted_conformal,year,2022,491,0.9633,3.6919,3.9821,-0.3413
weighted_conformal,year,2023,462,0.9524,3.8663,4.4557,0.311
weighted_conformal,year,2021,450,0.8933,3.5763,4.3715,-0.459
weighted_conformal,state,Illinois,441,0.9478,3.5574,3.8026,-0.4257
weighted_conformal,state,Indiana,386,0.9534,3.5064,3.7601,-0.2448
weighted_conformal,state,Iowa,451,0.9446,3.4872,4.2166,0.0277
weighted_conformal,state,Minnesota,345,0.942,3.8818,4.4472,-0.1076
weighted_conformal,state,Missouri,342,0.9123,3.927,5.0414,0.2971
weighted_conformal,state,Ohio,380,0.9789,3.5548,3.7442,-0.0839
weighted_conformal,year_type,Normal,1717,0.9586,3.5491,3.8867,-0.143
weighted_conformal,year_type,Extreme,202,0.8713,4.0674,5.9422,0.2225
weighted_conformal,year_type,Moderate,426,0.9366,3.7855,4.3134,-0.0857
weighted_conformal,cdhw,none,1717,0.9586,3.5491,3.8867,-0.143
weighted_conformal,cdhw,severe,314,0.8854,4.0204,5.4639,0.0452
weighted_conformal,cdhw,moderate,314,0.9459,3.7319,4.2108,-0.0183
weighted_conformal,drought_spei30_lt_-1,no_drought,149,0.953,3.5415,3.9197,0.0445
weighted_conformal,drought_spei30_lt_-1,drought,2196,0.9467,3.6432,4.1563,-0.111
weighted_conformal,heat_days_gt35,no_heat,1217,0.9614,3.5008,3.819,-0.1406
weighted_conformal,heat_days_gt35,heat,1128,0.9317,3.7833,4.489,-0.0586
