model,n_seeds,delta_r2_mean,delta_r2_sd,delta_r2_min,delta_r2_max,r2_with_mean,straddles_zero,year_level_p
CatBoost,3,-0.0031962686868520773,0.0012703872102833773,-0.004396120432337169,-0.001865486805244676,0.719853209266652,False,0.199359
LightGBM,3,0.0009111207426606427,0.010428436068053978,-0.009462958476105454,0.011393076696761817,0.7180621416790266,True,0.716169
RandomForest,3,0.00012130781260373998,0.00042249468734692605,-0.00022028660281847579,0.0005937450414503775,0.6723882988058406,True,0.761386
Ridge,3,0.0017388772098329008,0.0,0.0017388772098329008,0.0017388772098329008,0.6820584078262387,False,0.504748
XGBoost,3,-0.0057228342552931855,0.0,-0.0057228342552931855,-0.0057228342552931855,0.7177376364165055,False,0.202498
