feature,votes,selected,protected,avg_rank,rank_mi,rank_lgbm,rank_rf,rank_perm
noaa_hail_count_gs,1,True,True,95.0,112,72,100,100
CDHW_Severity_vegetative,1,False,False,96.75,72,98,110,111
noaa_max_hail_size_gs,1,True,True,97.5,107,76,106,105
CDHW_Veg_Severity,0,True,True,100.0,82,110,104,108
Fourier_cos_P3_0,0,True,True,100.25,110,105,97,93
CDHW_Severity_grainfill,0,False,False,101.0,100,95,107,106
CDHW_GrainFill_Severity,0,True,True,102.0,96,109,105,102
prism_tmax_days_gt35_veg,0,False,False,102.75,92,107,109,107
CDHW_Flag,1,True,True,104.25,75,116,115,115
cdhw_total_days_veg,0,False,False,104.75,84,113,113,113
cdhw_total_days_grain,0,False,False,105.75,102,108,108,109
cdhw_count_veg,0,False,False,106.5,93,114,111,112
noaa_tornado_count_gs,0,True,True,108.0,115,99,112,110
cdhw_count_grain,0,False,False,108.25,103,106,114,114
Fourier_cos_P1_0,0,True,True,115.0,117,115,116,116
Fourier_sin_P1_0,0,True,True,115.75,116,117,117,117
