held_out_state,n_test,nominal_coverage,PICP,ACE,MPIW,Winkler,lower_violation_rate,upper_violation_rate,n_covered,n_lower_violations,n_upper_violations,calibration_threshold_q
Illinois,3821,0.9,0.8862,0.0138,3.8859,5.1021,0.0183,0.0955,3386,70,365,1.0521
Indiana,3377,0.9,0.9781,0.0781,4.1093,4.3824,0.0145,0.0074,3303,49,25,1.1164
Iowa,3803,0.9,0.913,0.013,4.3109,4.9896,0.0053,0.0818,3472,20,311,1.2451
Minnesota,2947,0.9,0.8453,0.0547,4.2204,7.0875,0.1446,0.0102,2491,426,30,1.3191
Missouri,3353,0.9,0.9269,0.0269,4.7521,5.7013,0.0591,0.014,3108,198,47,1.1865
Ohio,3206,0.9,0.9467,0.0467,4.2245,4.8392,0.0508,0.0025,3035,163,8,1.2482
