state,n_features,target_detrending,fold_trend_t_ha_per_year,n_fit_total,n_train,n_es_val,n_dev,n_cal,n_test,hyperparameter_source,neuralcqr_ensemble_weight,lightgbm_ensemble_weight,dev_r2_neural_alone,dev_r2_lgb_alone,dev_r2_selected_blend,dev_rmse_selected_blend,dev_mae_selected_blend,weight_selection_partition,weight_selection_objective,calibration_partition,calibration_threshold_q,nominal_coverage,rmse,mae,r_squared,picp,mpiw,ace,winkler_score,lower_violation_rate,upper_violation_rate,n_covered,n_lower_violations,n_upper_violations,leakage_status
Illinois,99,Linear_FIT_Only,0.1104,12832,11549,1283,791,3063,3821,DEV-selected (loso_dev_selected_hyperparams.json),1.0,0.0,0.5137,0.4173,0.5137,1.1288,0.8999,LOSO_DEV_2014_2015,Maximize R2 on LOSO DEV,LOSO_CAL_2016_2023,1.0923,0.9,1.2075,0.9548,0.7524,0.9058,4.2688,0.0058,5.3656,0.0173,0.0769,3461,66,294,PASS
Indiana,101,Linear_FIT_Only,0.1134,13178,11861,1317,806,3146,3377,DEV-selected (loso_dev_selected_hyperparams.json),0.4,0.6,0.48,0.5142,0.5319,1.1434,0.9155,LOSO_DEV_2014_2015,Maximize R2 on LOSO DEV,LOSO_CAL_2016_2023,1.1164,0.9,0.8713,0.6607,0.813,0.9781,4.1093,0.0781,4.3824,0.0145,0.0074,3303,49,25,PASS
Iowa,100,Linear_FIT_Only,0.1038,12880,11592,1288,784,3040,3803,DEV-selected (loso_dev_selected_hyperparams.json),0.5,0.5,0.4388,0.4189,0.481,1.2444,0.9969,LOSO_DEV_2014_2015,Maximize R2 on LOSO DEV,LOSO_CAL_2016_2023,1.1887,0.9,1.1714,0.945,0.7223,0.9361,4.2643,0.0361,4.7203,0.0042,0.0597,3560,16,227,PASS
Minnesota,101,Linear_FIT_Only,0.1013,13497,12148,1349,835,3228,2947,DEV-selected (loso_dev_selected_hyperparams.json),1.0,0.0,0.5148,0.3949,0.5148,1.1099,0.8702,LOSO_DEV_2014_2015,Maximize R2 on LOSO DEV,LOSO_CAL_2016_2023,1.4181,0.9,1.5294,1.1697,0.6251,0.8544,4.3684,0.0456,7.0671,0.1408,0.0048,2518,415,14,PASS
Missouri,99,Linear_FIT_Only,0.1161,13045,11741,1304,861,3248,3353,DEV-selected (loso_dev_selected_hyperparams.json),0.6,0.4,0.4863,0.4623,0.5007,1.1192,0.8919,LOSO_DEV_2014_2015,Maximize R2 on LOSO DEV,LOSO_CAL_2016_2023,1.0618,0.9,1.2504,0.958,0.6425,0.9231,4.6023,0.0231,5.6358,0.0707,0.0063,3095,237,21,PASS
Ohio,97,Linear_FIT_Only,0.1108,13323,11991,1332,813,3165,3206,DEV-selected (loso_dev_selected_hyperparams.json),0.5,0.5,0.4807,0.4665,0.5095,1.1549,0.918,LOSO_DEV_2014_2015,Maximize R2 on LOSO DEV,LOSO_CAL_2016_2023,1.1796,0.9,0.9799,0.7513,0.7564,0.9626,4.2142,0.0626,4.5723,0.0352,0.0022,3086,113,7,PASS
