feature,votes,selected,protected,avg_rank,rank_mi,rank_lgbm,rank_rf,rank_perm
noaa_max_hail_size_gs,1,True,True,93.0,102,76,100,98
prism_tmax_days_gt35_grain,0,False,False,97.75,91,100,103,101
CDHW_Severity_vegetative,0,False,False,99.5,85,99,109,109
CDHW_Veg_Severity,0,True,True,99.5,86,111,101,104
Fourier_cos_P3_0,0,True,True,101.0,110,96,102,100
prism_tmax_days_gt35_veg,0,False,False,103.75,97,105,110,107
CDHW_Severity_grainfill,0,False,False,104.0,108,95,107,110
CDHW_GrainFill_Severity,0,True,True,106.0,107,114,104,103
cdhw_total_days_veg,0,False,False,106.5,92,112,113,113
cdhw_total_days_grain,0,False,False,107.5,113,109,106,106
noaa_tornado_count_gs,0,True,True,109.0,115,101,112,112
cdhw_count_veg,0,False,False,109.5,99,113,115,115
cdhw_count_grain,0,False,False,110.0,114,108,111,111
CDHW_Flag,0,True,True,110.0,100,116,114,114
Fourier_cos_P1_0,0,True,True,115.0,117,115,116,116
Fourier_sin_P1_0,0,True,True,115.75,116,117,117,117
