Score_Index,NonConformity_Score,Year,GEOID,Target_Yield
152,1.3817,2018,17115,15.0417
153,0.5002,2016,17117,12.4898
154,-0.1694,2017,17117,11.9506
155,0.5986,2018,17117,13.4993
156,-0.2642,2016,17119,10.7844
157,0.0036,2017,17119,11.1543
158,0.5658,2018,17119,12.4021
159,-1.1843,2016,17121,9.079
160,-0.97,2017,17121,9.0351
161,1.3089,2018,17121,12.4898
162,0.5632,2016,17123,13.5181
163,1.5631,2017,17123,14.4649
164,0.4105,2018,17123,13.4115
165,0.1739,2016,17125,12.4522
166,-0.2135,2017,17125,12.6529
167,-1.1745,2016,17127,8.6965
168,-0.0323,2017,17127,11.2108
169,0.352,2016,17129,13.1231
170,0.5853,2017,17129,13.8379
171,0.5915,2016,17131,13.3864
172,1.458,2017,17131,14.9665
173,1.397,2018,17131,14.5025
174,-0.9996,2016,17133,9.3548
175,-0.3485,2017,17133,8.383
176,-0.1986,2018,17133,10.8847
177,0.3933,2016,17135,12.3456
178,0.1223,2017,17135,12.3519
179,1.1093,2018,17135,13.9696
180,0.1053,2016,17137,12.8911
181,-0.4309,2017,17137,12.3456
182,0.8148,2018,17137,14.327
183,0.2315,2016,17139,13.0353
184,-0.0541,2017,17139,13.5181
185,1.4094,2018,17139,14.6655
186,1.4067,2016,17141,14.1639
187,0.555,2017,17141,12.9789
188,-0.511,2018,17141,12.4271
189,0.6178,2016,17143,13.4554
190,1.3544,2017,17143,14.2768
191,1.2914,2018,17143,14.352
192,-0.7232,2016,17145,7.06
193,-0.9196,2017,17145,7.7058
194,-0.8995,2018,17145,9.2608
195,0.7457,2016,17147,13.7125
196,-0.0777,2017,17147,13.5871
197,1.3883,2018,17147,15.1609
198,-0.0021,2016,17149,11.3926
199,0.2388,2017,17149,11.9757
200,-0.4401,2018,17149,11.449
201,-1.6086,2016,17151,7.9817
202,-1.2454,2016,17153,8.872
203,1.2901,2017,17153,12.0948
204,0.8279,2016,17155,13.6749
205,0.593,2017,17155,13.1858
206,-0.0064,2018,17155,12.9287
207,-1.4399,2016,17157,8.4708
208,-1.2316,2017,17157,8.1949
209,-0.4871,2018,17157,10.3706
210,-0.8505,2016,17159,9.2169
211,-0.8695,2017,17159,9.2796
212,-0.0904,2018,17159,10.5148
213,0.6021,2016,17161,13.2172
214,1.125,2017,17161,14.12
215,1.1093,2018,17161,14.0072
216,-0.4649,2016,17163,9.9818
217,-0.3455,2017,17163,10.3706
218,0.2644,2018,17163,11.6873
219,-1.448,2016,17165,8.5648
220,0.0422,2017,17165,10.728
221,-0.654,2018,17165,10.0634
222,1.2098,2016,17167,13.9257
223,1.1158,2017,17167,14.0699
224,1.3556,2018,17167,14.8223
225,-0.5069,2016,17169,11.6936
226,-0.311,2017,17169,12.1826
227,0.0771,2018,17169,12.6968
228,0.0368,2016,17171,12.1199
229,0.6519,2017,17171,12.8347
230,-0.283,2016,17173,11.6434
231,0.2592,2017,17173,12.4522
232,1.7312,2018,17173,14.1326
233,0.8067,2016,17175,14.1514
234,0.8577,2017,17175,14.4461
235,1.2556,2018,17175,14.6718
236,0.5301,2016,17177,13.2422
237,0.8651,2017,17177,12.9162
238,0.2022,2018,17177,13.1106
239,1.789,2016,17179,14.7972
240,0.7358,2017,17179,14.2893
241,1.2363,2018,17179,14.7596
242,0.2075,2016,17181,7.2607
243,-0.7843,2017,17181,9.7812
244,0.3884,2016,17183,12.7845
245,-0.3905,2017,17183,12.1763
246,1.0972,2018,17183,13.7188
247,-0.762,2016,17185,9.8063
248,-0.5833,2017,17185,11.0289
249,1.1819,2016,17187,14.3708
250,1.5855,2017,17187,15.4681
251,1.5931,2018,17187,15.1546
252,-1.0518,2016,17189,8.7968
253,-0.3449,2017,17189,8.4833
254,-0.0075,2018,17189,11.3299
255,-0.8989,2017,17191,9.8815
256,0.1129,2018,17191,11.1104
257,-0.4325,2016,17193,8.477
258,-0.0637,2017,17193,11.4553
259,-0.3469,2018,17193,10.8095
260,0.29,2016,17195,12.4773
261,0.7537,2017,17195,13.1294
262,0.8271,2018,17195,13.5369
263,0.7056,2017,17197,12.4083
264,-0.0146,2018,17197,11.681
265,0.01,2016,17199,6.7591
266,0.4033,2017,17199,10.4082
267,0.417,2018,17199,10.3706
268,-0.0823,2016,17201,12.1575
269,0.2152,2017,17201,11.5368
270,-0.6439,2018,17201,11.5619
271,1.5925,2016,17203,14.5966
272,0.2894,2017,17203,13.4303
273,0.8129,2018,17203,14.026
274,-0.3917,2016,18001,10.0007
275,0.26,2017,18001,10.6465
276,-0.095,2018,18001,12.1952
277,-0.9836,2016,18003,9.9003
278,-0.5896,2017,18003,10.5085
279,-0.8856,2018,18003,11.3926
280,-0.4992,2016,18005,10.7342
281,0.3247,2018,18005,11.8691
282,0.095,2016,18007,12.4898
283,0.565,2017,18007,12.4898
284,-0.2346,2018,18007,12.6466
285,0.0035,2016,18009,10.9035
286,0.291,2017,18009,11.2358
287,0.0439,2018,18009,12.6027
288,-0.9958,2016,18011,11.2923
289,-0.2534,2017,18011,11.5619
290,0.0033,2018,18011,12.471
291,0.0623,2016,18015,12.4021
292,-0.9847,2017,18015,11.38
293,-0.052,2018,18015,12.8347
294,0.082,2016,18017,11.8879
295,-0.5287,2017,18017,11.355
296,-0.4671,2018,18017,12.2578
297,-1.372,2016,18019,8.8094
298,-0.9047,2017,18019,9.9568
299,0.1535,2018,18019,11.2045
300,-0.2843,2017,18021,11.8879
301,-0.3513,2018,18021,11.38
302,-0.4114,2016,18023,11.9506
303,-0.4215,2017,18023,11.6058
304,0.5759,2018,18023,13.4115
305,-0.9094,2016,18027,10.7781
306,-0.1987,2017,18027,12.1638
307,0.5633,2018,18027,12.3017
308,-0.7331,2016,18029,10.1637
309,-0.6874,2017,18029,10.5524
310,-0.249,2018,18029,11.0791
311,-0.5662,2016,18031,11.217
312,-0.5449,2017,18031,11.9255
313,0.9394,2018,18031,12.9664
314,-0.9092,2016,18033,9.1793
315,-0.3886,2017,18033,10.659
316,-0.7232,2018,18033,10.0007
317,-0.9061,2016,18035,10.3455
318,-0.9108,2017,18035,9.7185
319,0.7414,2018,18035,13.0479
320,-1.2204,2016,18037,8.9849
321,0.7166,2017,18037,12.4209
322,0.4068,2018,18037,11.7312
323,-0.5942,2016,18039,9.9505
324,-0.8396,2017,18039,10.8973
325,-0.5406,2018,18039,10.8158
326,-0.5365,2016,18041,10.8596
327,-0.9499,2017,18041,10.8471
328,0.63,2018,18041,12.4522
329,-1.0549,2016,18043,8.0632
330,-0.3719,2016,18045,12.0259
331,-0.8652,2017,18045,11.518
332,-0.3522,2016,18047,10.9913
333,-0.5328,2017,18047,11.1418
334,0.0649,2018,18047,11.6434
335,-0.1763,2016,18049,11.0791
336,0.6617,2017,18049,12.54
337,-0.2539,2018,18049,11.7374
338,-0.9238,2016,18051,10.1386
339,-0.0038,2017,18051,12.2014
340,-0.0114,2018,18051,11.5368
341,-0.8389,2017,18053,10.6339
342,0.0234,2018,18053,12.8159
343,-1.1106,2016,18055,9.7812
344,-0.2569,2017,18055,10.101
345,0.3382,2018,18055,11.2296
346,-0.738,2016,18057,11.2546
347,-1.1536,2017,18057,9.7624
348,-0.5147,2018,18057,10.9412
349,-1.1575,2016,18059,10.8095
350,-0.1038,2017,18059,9.9129
351,-0.6308,2018,18059,11.7562
352,-0.8099,2016,18061,9.3925
353,-0.7926,2017,18061,10.1888
354,1.0494,2018,18061,11.8628
355,-0.8367,2016,18063,11.2108
356,-0.3489,2017,18063,11.4929
357,0.8244,2018,18063,12.9726
358,-0.2156,2016,18065,11.1355
359,-0.9191,2017,18065,10.8283
360,0.1251,2018,18065,12.4459
361,0.0303,2016,18067,12.0823
362,-0.4289,2017,18067,11.6058
363,0.4876,2018,18067,13.5244
364,-0.4383,2017,18069,10.4834
365,-0.8935,2018,18069,11.4741
366,-0.3697,2016,18071,10.101
367,-0.789,2017,18071,10.4521
368,-0.1193,2018,18071,10.8596
369,-0.5462,2016,18073,11.2923
370,-0.4047,2017,18073,11.4741
371,-0.2238,2018,18073,10.3142
372,-0.0485,2016,18075,10.4897
373,-0.4083,2017,18075,9.9881
374,-0.138,2018,18075,11.8252
375,-1.0218,2016,18077,9.3298
376,-0.7744,2017,18077,10.5211
377,0.4158,2018,18077,11.5995
378,-1.0793,2016,18079,9.8188
379,-0.8761,2017,18079,10.7468
380,0.0061,2018,18079,11.3863
381,-0.9688,2016,18081,10.0884
382,-0.7748,2017,18081,10.9976
383,-0.7197,2016,18083,10.6402
384,-0.7293,2017,18083,11.5807
385,-0.2848,2018,18083,11.2484
386,-0.3117,2016,18085,10.333
387,-0.8381,2017,18085,10.7405
388,-0.4218,2018,18085,11.2735
389,-1.1969,2016,18087,8.4081
390,-0.2789,2017,18087,8.9097
391,-0.5674,2018,18087,8.9097
392,-0.3485,2016,18089,11.123
393,1.0562,2017,18089,12.3456
394,0.2349,2016,18091,9.2733
395,-0.0418,2017,18091,9.6872
396,-0.0528,2018,18091,9.9693
397,-1.1265,2016,18093,9.0664
398,-0.6168,2017,18093,11.0101
399,1.3093,2018,18093,12.0447
400,-0.5213,2016,18095,11.355
401,-1.1131,2017,18095,10.3706
402,0.123,2018,18095,12.8598
403,-0.3155,2016,18099,10.5963
404,0.2112,2017,18099,11.8628
405,-0.4279,2018,18099,11.0101
406,-0.8825,2016,18101,10.0759
407,0.6821,2018,18101,11.4678
408,-0.3221,2016,18103,10.4834
409,-0.7195,2017,18103,10.728
410,-0.4629,2018,18103,12.0008
411,-0.7761,2016,18105,10.0759
412,-0.5832,2017,18105,9.8063
413,0.6093,2018,18105,11.3989
414,-0.0667,2016,18107,12.54
415,0.0125,2017,18107,12.54
416,-0.9308,2016,18109,10.4082
417,-0.9191,2017,18109,10.5838
418,0.5263,2018,18109,12.3519
419,0.9606,2016,18111,12.8347
420,0.8368,2017,18111,12.7845
421,-0.284,2018,18111,12.471
422,-0.3101,2016,18113,9.8502
423,-0.3251,2017,18113,11.0038
424,-0.5373,2018,18113,10.7029
425,-0.9907,2016,18115,9.405
426,-0.267,2017,18115,10.7092
427,0.259,2018,18115,11.286
428,-0.4916,2016,18117,10.1762
429,0.6976,2017,18117,12.4271
430,1.8725,2018,18117,12.9601
431,-0.9049,2016,18119,10.0634
432,-0.2894,2017,18119,9.7875
433,-0.0016,2018,18119,10.8283
434,-0.1951,2016,18121,11.4616
435,-0.6603,2017,18121,11.1982
436,0.4076,2018,18121,12.0823
437,-0.0179,2017,18123,11.2609
438,-1.2851,2016,18125,9.1856
439,-0.6564,2016,18127,10.8659
440,0.2694,2017,18127,11.6747
441,-0.3161,2018,18127,11.4177
442,-0.5254,2016,18129,9.0288
443,-0.0891,2017,18129,11.9193
444,-0.3936,2018,18129,11.4177
445,-0.9592,2016,18131,9.9568
446,0.0559,2017,18131,11.6747
447,-0.8912,2018,18131,10.6026
448,-0.5871,2017,18133,11.286
449,0.5899,2018,18133,12.3394
450,-1.0003,2016,18135,10.3957
451,-0.5065,2017,18135,10.6339
452,-0.5796,2018,18135,11.587
453,-1.0379,2016,18137,9.9003
454,0.2516,2017,18137,11.6559
455,0.0778,2018,18137,11.4678
456,-0.0632,2016,18139,11.8378
457,-0.7181,2017,18139,11.6246
458,0.418,2018,18139,12.7845
459,-0.6136,2016,18141,9.3548
460,-0.2107,2017,18141,11.1606
461,-0.8185,2018,18141,10.2953
462,-0.5656,2016,18143,8.9159
463,-0.9571,2017,18143,10.4646
464,0.1553,2018,18143,11.2985
465,-1.1294,2016,18145,10.3455
466,-0.8436,2017,18145,11.2045
467,0.196,2018,18145,12.1826
468,-0.7271,2016,18147,9.3486
469,0.5962,2017,18147,12.308
470,-0.9284,2016,18149,8.9473
471,-0.4076,2017,18149,10.7719
472,-0.9082,2016,18151,9.2545
473,-0.4849,2017,18151,10.032
474,-0.6986,2018,18151,9.405
475,-1.0789,2016,18153,10.2891
476,-1.0528,2017,18153,11.2797
477,0.1098,2018,18153,11.7437
478,-0.76,2016,18155,9.9191
479,-0.4089,2017,18155,10.7154
480,0.0983,2018,18155,11.1606
481,-0.7522,2017,18157,11.3048
482,0.2339,2018,18157,12.609
483,-0.2124,2016,18159,12.4459
484,-0.87,2017,18159,10.8283
485,0.4036,2018,18159,13.5118
486,-0.9746,2016,18161,11.1042
487,-0.7712,2017,18161,11.3487
488,0.3505,2018,18161,12.7845
489,-0.9297,2016,18163,9.6558
490,0.3187,2017,18163,12.1638
491,-0.4995,2018,18163,11.2609
492,0.0997,2016,18165,12.3832
493,-0.4533,2017,18165,11.7876
494,0.0251,2018,18165,12.3832
495,-0.1196,2017,18167,11.7061
496,-0.3282,2018,18167,11.0603
497,-0.5682,2016,18169,11.1167
498,-0.4633,2017,18169,10.9286
499,-0.0576,2018,18169,12.6278
500,0.9143,2016,18171,13.3112
501,0.2866,2017,18171,12.9162
502,0.1067,2018,18171,12.9413
503,-1.375,2016,18173,8.4394
504,0.0039,2017,18173,11.4365
505,-0.7562,2018,18173,10.1072
506,-1.0091,2016,18175,9.2671
507,-0.36,2017,18175,10.822
508,0.957,2018,18175,11.5431
509,-0.7829,2016,18177,10.4834
510,-0.7017,2017,18177,10.7781
511,-0.1067,2018,18177,12.0196
512,0.4224,2017,18179,11.6058
513,0.4443,2018,18179,12.7971
514,-0.5208,2016,18181,11.8628
515,-0.2796,2017,18181,11.6246
516,-0.2745,2018,18181,12.3456
517,-0.8426,2016,18183,10.1072
518,-0.1944,2017,18183,10.9725
519,-0.872,2018,18183,11.3299
520,0.0869,2016,19001,11.9318
521,-0.6953,2017,19001,10.985
522,0.8028,2018,19001,9.3736
523,-0.048,2016,19003,11.75
524,-0.8914,2017,19003,11.2797
525,-0.5577,2018,19003,10.7593
526,1.2236,2016,19005,12.8598
527,0.2889,2017,19005,11.9444
528,0.4123,2018,19005,12.4397
529,0.5124,2016,19007,11.681
530,-0.5612,2017,19007,10.659
531,0.742,2016,19009,12.9225
532,0.2268,2017,19009,13.2422
533,-0.2231,2018,19009,11.286
534,-0.108,2016,19011,12.5337
535,0.4988,2017,19011,13.4993
536,0.258,2018,19011,13.4554
537,0.73,2016,19013,12.9413
538,0.2862,2017,19013,13.1168
539,-0.1192,2018,19013,12.9287
540,0.3476,2016,19015,13.0667
541,-0.9324,2017,19015,12.0635
542,-0.6708,2018,19015,12.145
543,0.9387,2016,19017,13.2046
544,1.0269,2017,19017,13.3363
545,0.6386,2018,19017,13.3175
546,0.7258,2016,19019,12.8911
547,1.4254,2017,19019,13.8755
548,0.0119,2018,19019,12.9852
549,0.1718,2016,19021,12.609
550,-0.5128,2017,19021,11.7813
551,-0.3993,2018,19021,12.1074
552,0.6197,2016,19023,12.9977
553,0.6342,2017,19023,13.2548
554,0.5854,2018,19023,13.2485
555,0.4144,2016,19025,12.9977
